Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
95,nav2,1768528725538181188,1768528725652559610,1768528725653688325,1768528725657212085,114.3784,1.1287,3.5238,119.0309,0.200000,0.000000
96,nav2,1768528725610288653,1768528725721922411,1768528725721958503,1768528725731893719,111.6338,0.0361,9.9352,121.6051,0.200000,0.000000
97,nav2,1768528725642503590,1768528725740000092,1768528725740029610,1768528725746557095,97.4965,0.0295,6.5275,104.0535,0.200000,0.000000
98,nav2,1768528725705910993,1768528725784641050,1768528725784680772,1768528725787870313,78.7301,0.0397,3.1895,81.9593,0.200000,0.000000
99,nav2,1768528725739123794,1768528725816279404,1768528725816342404,1768528725824268812,77.1556,0.0630,7.9264,85.1450,0.200000,0.000000
100,nav2,1768528725791584206,1768528725865753553,1768528725865810905,1768528725873714759,74.1693,0.0574,7.9039,82.1306,0.200000,0.000000
101,nav2,1768528725875728895,1768528725954918969,1768528725955117209,1768528725960098822,79.1901,0.1982,4.9816,84.3699,0.200000,0.000000
102,nav2,1768528725897679550,1768528725967185688,1768528725967224798,1768528725983650159,69.5061,0.0391,16.4254,85.9706,0.200000,0.000000
103,nav2,1768528725944843812,1768528726034739370,1768528726034910610,1768528726041720148,89.8956,0.1712,6.8095,96.8763,0.200000,0.000000
104,nav2,1768528726015452444,1768528726082373049,1768528726082522863,1768528726112452465,66.9206,0.1498,29.9296,97.0000,0.200000,0.000000
105,nav2,1768528726057373477,1768528726152386938,1768528726152422105,1768528726215033269,95.0135,0.0352,62.6112,157.6598,0.200000,0.000000
106,nav2,1768528726117041379,1768528726281326694,1768528726281357231,1768528726291561807,164.2853,0.0305,10.2046,174.5204,0.200000,0.000000
107,nav2,1768528726144965075,1768528726311435837,1768528726311464910,1768528726336114130,166.4708,0.0291,24.6492,191.1491,0.200000,0.000000
108,nav2,1768528726237449622,1768528726354408008,1768528726354438064,1768528726361463412,116.9584,0.0301,7.0253,124.0138,0.200000,0.000000
109,nav2,1768528726300164544,1768528726444372678,1768528726444448678,1768528726474520282,144.2081,0.0760,30.0716,174.3557,0.200000,0.000000
110,nav2,1768528726352655568,1768528726483051673,1768528726483089155,1768528726492402888,130.3961,0.0375,9.3137,139.7473,0.200000,0.000000
111,nav2,1768528726406597755,1768528726521011655,1768528726521040969,1768528726537822589,114.4139,0.0293,16.7816,131.2248,0.200000,0.000000
112,nav2,1768528726480798727,1768528726591092043,1768528726591210432,1768528726622281970,110.2933,0.1184,31.0715,141.4832,0.200000,0.000000
113,nav2,1768528726493724861,1768528726628674731,1768528726628842471,1768528726653052315,134.9499,0.1677,24.2098,159.3275,0.200000,0.000000
114,nav2,1768528726565959725,1768528726699650818,1768528726699715854,1768528726746273062,133.6911,0.0650,46.5572,180.3133,0.200000,0.000000
115,nav2,1768528726596006263,1768528726713323509,1768528726713536192,1768528726746610060,117.3172,0.2127,33.0739,150.6038,0.200000,0.000000
116,nav2,1768528726655588918,1768528726764721979,1768528726764971477,1768528726783321338,109.1331,0.2495,18.3499,127.7324,0.200000,0.000000
117,nav2,1768528726684233503,1768528726793474111,1768528726796305389,1768528726809320520,109.2406,2.8313,13.0151,125.0870,0.200000,0.000000
118,nav2,1768528726755416774,1768528726861975954,1768528726862061157,1768528726871464411,106.5592,0.0852,9.4033,116.0476,0.200000,0.000000
119,nav2,1768528726827762861,1768528726962917332,1768528726963160979,1768528726968515985,135.1545,0.2436,5.3550,140.7531,0.200000,0.000000
120,nav2,1768528726850611065,1768528726982549097,1768528726988861223,1768528727002952556,131.9380,6.3121,14.0913,152.3415,0.200000,0.000000
121,nav2,1768528726895001365,1768528727015189741,1768528727015259945,1768528727052944478,120.1884,0.0702,37.6845,157.9431,0.200000,0.000000
122,nav2,1768528726975481719,1768528727071095294,1768528727071207904,1768528727077835805,95.6136,0.1126,6.6279,102.3541,0.200000,0.000000
123,nav2,1768528727059419248,1768528727137281578,1768528727137497299,1768528727149944033,77.8623,0.2157,12.4467,90.5248,0.200000,0.000000
124,nav2,1768528727121113336,1768528727282365953,1768528727283776426,1768528727297046190,161.2526,1.4105,13.2698,175.9329,0.200000,0.000000
125,nav2,1768528727152952090,1768528727291808319,1768528727292312464,1768528727297995519,138.8562,0.5041,5.6831,145.0434,0.200000,0.000000
126,nav2,1768528727196953850,1768528727312962463,1768528727313143443,1768528727340016568,116.0086,0.1810,26.8731,143.0627,0.200000,0.000000
127,nav2,1768528727280332949,1768528727402864985,1768528727406511943,1768528727415153417,122.5320,3.6470,8.6415,134.8205,0.200000,0.000000
128,nav2,1768528727312891164,1768528727469821949,1768528727470110984,1768528727472876267,156.9308,0.2890,2.7653,159.9851,0.200000,0.000000
129,nav2,1768528727376123443,1768528727516013582,1768528727516279802,1768528727524513379,139.8901,0.2662,8.2336,148.3899,0.200000,0.000000
130,nav2,1768528727408847910,1768528727574409563,1768528727574698135,1768528727581366435,165.5617,0.2886,6.6683,172.5185,0.200000,0.000000
131,nav2,1768528727476829885,1768528727610467223,1768528727610556667,1768528727618875893,133.6373,0.0894,8.3192,142.0460,0.200000,0.000000
132,nav2,1768528727508513009,1768528727664245493,1768528727664459733,1768528727673054677,155.7325,0.2142,8.5949,164.5417,0.200000,0.000000
133,nav2,1768528727556966364,1768528727694573004,1768528727694641985,1768528727697367287,137.6066,0.0690,2.7253,140.4009,0.200000,0.000000
134,nav2,1768528727605258697,1768528727769905767,1768528727770050507,1768528727789909866,164.6471,0.1447,19.8594,184.6512,0.200000,0.000000
135,nav2,1768528727656254556,1768528727800851978,1768528727801058606,1768528727816552131,144.5974,0.2066,15.4935,160.2976,0.200000,0.000000
136,nav2,1768528727694789938,1768528727841452498,1768528727845917914,1768528727865659105,146.6626,4.4654,19.7412,170.8692,0.200000,0.000000
137,nav2,1768528727747367638,1768528727924631489,1768528727924669841,1768528727931497291,177.2639,0.0384,6.8274,184.1297,0.200000,0.000000
138,nav2,1768528727826389119,1768528728021216506,1768528728021269135,1768528728036461907,194.8274,0.0526,15.1928,210.0728,0.200000,0.000000
139,nav2,1768528727880460326,1768528728033802019,1768528728033866537,1768528728062848564,153.3417,0.0645,28.9820,182.3882,0.200000,0.000000
140,nav2,1768528727903212659,1768528728069508051,1768528728069556162,1768528728079849114,166.2954,0.0481,10.2930,176.6365,0.200000,0.000000
141,nav2,1768528727939733724,1768528728107312293,1768528728107343385,1768528728130591222,167.5786,0.0311,23.2478,190.8575,0.200000,0.000000
142,nav2,1768528728036412585,1768528728221044201,1768528728221101182,1768528728225508222,184.6316,0.0570,4.4070,189.0956,0.200000,0.000000
143,nav2,1768528728089479785,1768528728236741379,1768528728236795564,1768528728238796513,147.2616,0.0542,2.0009,149.3167,0.200000,0.000000
144,nav2,1768528728160581817,1768528728312885655,1768528728312917618,1768528728321108303,152.3038,0.0320,8.1907,160.5265,0.200000,0.000000
145,nav2,1768528728211809579,1768528728353538693,1768528728353587860,1768528728362670902,141.7291,0.0492,9.0830,150.8613,0.200000,0.000000
146,nav2,1768528728263175672,1768528728420430028,1768528728420480417,1768528728433002253,157.2544,0.0504,12.5218,169.8266,0.200000,0.000000
147,nav2,1768528728294082728,1768528728422306701,1768528728422350053,1768528728433407739,128.2240,0.0434,11.0577,139.3250,0.200000,0.000000
148,nav2,1768528728335626808,1768528728510316217,1768528728510373680,1768528728531765173,174.6894,0.0575,21.3915,196.1384,0.200000,0.000000
149,nav2,1768528728397715249,1768528728545603789,1768528728545633493,1768528728548898105,147.8885,0.0297,3.2646,151.1829,0.200000,0.000000
150,nav2,1768528728440793931,1768528728630214512,1768528728630263900,1768528728634271138,189.4206,0.0494,4.0072,193.4772,0.200000,0.000000
151,nav2,1768528728504667270,1768528728837416679,1768528728837543789,1768528728844087407,332.7494,0.1271,6.5436,339.4201,0.200000,0.000000
152,nav2,1768528728534902932,1768528728878238586,1768528728878369289,1768528728908555506,343.3357,0.1307,30.1862,373.6526,0.200000,0.000000
153,nav2,1768528728586902905,1768528728905296914,1768528728905424210,1768528728930986605,318.3940,0.1273,25.5624,344.0837,0.200000,0.000000
154,nav2,1768528728658899436,1768528729023495572,1768528729023532535,1768528729031218948,364.5961,0.0370,7.6864,372.3195,0.200000,0.000000
155,nav2,1768528728690109060,1768528729029179443,1768528729029228073,1768528729031546539,339.0704,0.0486,2.3185,341.4375,0.200000,0.000000
156,nav2,1768528728825063233,1768528729035030888,1768528729035081350,1768528729059340327,209.9677,0.0505,24.2590,234.2771,0.200000,0.000000
