Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
78,nav2,1768474343841309380,1768474343846064623,1768474343846150882,1768474343849023246,4.7552,0.0863,2.8724,7.7139,0.200000,0.000000
79,nav2,1768474343894802505,1768474343896806118,1768474343896842285,1768474343897927893,2.0036,0.0362,1.0856,3.1254,0.200000,0.000000
80,nav2,1768474343947292317,1768474343952268270,1768474343952301678,1768474343953631776,4.9760,0.0334,1.3301,6.3395,0.200000,0.000000
81,nav2,1768474343999622362,1768474344002021957,1768474344002057790,1768474344003180766,2.3996,0.0358,1.1230,3.5584,0.200000,0.000000
82,nav2,1768474344044900084,1768474344046733247,1768474344046767839,1768474344047848264,1.8332,0.0346,1.0804,2.9482,0.200000,0.000000
83,nav2,1768474344096878451,1768474344098568865,1768474344098608939,1768474344099906413,1.6904,0.0401,1.2975,3.0280,0.200000,0.000000
84,nav2,1768474344139132787,1768474344141043743,1768474344141079150,1768474344142065945,1.9110,0.0354,0.9868,2.9332,0.200000,0.000000
85,nav2,1768474344190467350,1768474344192220235,1768474344192261309,1768474344193330567,1.7529,0.0411,1.0693,2.8632,0.200000,0.000000
86,nav2,1768474344242432153,1768474344244422296,1768474344244459962,1768474344245608085,1.9901,0.0377,1.1481,3.1759,0.200000,0.000000
87,nav2,1768474344296096059,1768474344297999182,1768474344298044107,1768474344299200626,1.9031,0.0449,1.1565,3.1046,0.200000,0.000000
88,nav2,1768474344347547699,1768474344349639579,1768474344349681023,1768474344350757528,2.0919,0.0414,1.0765,3.2098,0.200000,0.000000
89,nav2,1768474344390753790,1768474344392664083,1768474344392703749,1768474344394268222,1.9103,0.0397,1.5645,3.5144,0.200000,0.000000
90,nav2,1768474344442661455,1768474344445301604,1768474344445338159,1768474344446584320,2.6401,0.0366,1.2462,3.9229,0.200000,0.000000
91,nav2,1768474344494868138,1768474344497392350,1768474344497430461,1768474344498532519,2.5242,0.0381,1.1021,3.6644,0.200000,0.000000
92,nav2,1768474344546911318,1768474344548808989,1768474344548850804,1768474344549893187,1.8977,0.0418,1.0424,2.9819,0.200000,0.000000
93,nav2,1768474344588881634,1768474344590620649,1768474344590666389,1768474344592939481,1.7390,0.0457,2.2731,4.0578,0.200000,0.000000
94,nav2,1768474344640408023,1768474344642356249,1768474344642399786,1768474344643487290,1.9482,0.0435,1.0875,3.0793,0.200000,0.000000
95,nav2,1768474344692282278,1768474344694051720,1768474344694092553,1768474344695415338,1.7694,0.0408,1.3228,3.1331,0.200000,0.000000
96,nav2,1768474344736926186,1768474344738667307,1768474344738706863,1768474344739848776,1.7411,0.0396,1.1419,2.9226,0.200000,0.000000
97,nav2,1768474344798803369,1768474344800505903,1768474344800546699,1768474344802400513,1.7025,0.0408,1.8538,3.5971,0.200000,0.000000
98,nav2,1768474344830701827,1768474344834140704,1768474344834179426,1768474344835725679,3.4389,0.0387,1.5463,5.0239,0.200000,0.000000
99,nav2,1768474344884302488,1768474344886091525,1768474344886130210,1768474344887084739,1.7890,0.0387,0.9545,2.7823,0.200000,0.000000
100,nav2,1768474344937594829,1768474344939463041,1768474344939502819,1768474344941861576,1.8682,0.0398,2.3588,4.2667,0.200000,0.000000
101,nav2,1768474344998584802,1768474345000243607,1768474345000283792,1768474345001273811,1.6588,0.0402,0.9900,2.6890,0.200000,0.000000
102,nav2,1768474345031603096,1768474345033442780,1768474345033483706,1768474345034715391,1.8397,0.0409,1.2317,3.1123,0.200000,0.000000
103,nav2,1768474345097321051,1768474345099075113,1768474345099110964,1768474345100383758,1.7541,0.0359,1.2728,3.0627,0.200000,0.000000
104,nav2,1768474345149427475,1768474345151241211,1768474345151281118,1768474345152528368,1.8137,0.0399,1.2472,3.1009,0.200000,0.000000
105,nav2,1768474345191259262,1768474345193008333,1768474345193046925,1768474345194241077,1.7491,0.0386,1.1942,2.9818,0.200000,0.000000
106,nav2,1768474345244063703,1768474345245761113,1768474345245801038,1768474345248155279,1.6974,0.0399,2.3542,4.0916,0.200000,0.000000
107,nav2,1768474345295697631,1768474345297359751,1768474345297396547,1768474345298372126,1.6621,0.0368,0.9756,2.6745,0.200000,0.000000
