Seq,Source,Tsend_pc_ns,Trecv_rpi_ns,Tsend2_rpi_ns,Trecv2_pc_ns,OneWay_PC_to_RPI_ms,RPI_Internal_ms,OneWay_RPI_to_PC_ms,RTT_ms,Linear_X,Angular_Z
120,nav2,1768473499028479698,1768473499030264517,1768473499030301053,1768473499031641431,1.7848,0.0365,1.3404,3.1617,0.200000,0.000000
121,nav2,1768473499077629180,1768473499080309070,1768473499080343218,1768473499081849256,2.6799,0.0341,1.5060,4.2201,0.200000,0.000000
122,nav2,1768473499135460885,1768473499140135992,1768473499140170177,1768473499141209063,4.6751,0.0342,1.0389,5.7482,0.200000,0.000000
123,nav2,1768473499178320839,1768473499180118364,1768473499180154642,1768473499181321702,1.7975,0.0363,1.1671,3.0009,0.200000,0.000000
124,nav2,1768473499237462831,1768473499239969415,1768473499240002100,1768473499241412624,2.5066,0.0327,1.4105,3.9498,0.200000,0.000000
125,nav2,1768473499277611672,1768473499280109954,1768473499280145750,1768473499281437880,2.4983,0.0358,1.2921,3.8262,0.200000,0.000000
126,nav2,1768473499338260471,1768473499340761611,1768473499340797870,1768473499342598055,2.5011,0.0363,1.8002,4.3376,0.200000,0.000000
127,nav2,1768473499377330394,1768473499379676768,1768473499379708842,1768473499381231718,2.3464,0.0321,1.5229,3.9013,0.200000,0.000000
128,nav2,1768473499437776811,1768473499440071075,1768473499440105741,1768473499441789245,2.2943,0.0347,1.6835,4.0124,0.200000,0.000000
129,nav2,1768473499488247825,1768473499490569588,1768473499490604773,1768473499491864869,2.3218,0.0352,1.2601,3.6170,0.200000,0.000000
130,nav2,1768473499538583080,1768473499540692512,1768473499540727160,1768473499542320372,2.1094,0.0346,1.5932,3.7373,0.200000,0.000000
131,nav2,1768473499588413502,1768473499590785269,1768473499590820269,1768473499592107758,2.3718,0.0350,1.2875,3.6943,0.200000,0.000000
132,nav2,1768473499637292210,1768473499639261610,1768473499639297869,1768473499640886344,1.9694,0.0363,1.5885,3.5941,0.200000,0.000000
133,nav2,1768473499688331815,1768473499690454379,1768473499690488342,1768473499692488013,2.1226,0.0340,1.9997,4.1562,0.200000,0.000000
134,nav2,1768473499736727145,1768473499739553234,1768473499739653493,1768473499741488392,2.8261,0.1003,1.8349,4.7612,0.200000,0.000000
135,nav2,1768473499776895557,1768473499778736242,1768473499778774630,1768473499780163475,1.8407,0.0384,1.3888,3.2679,0.200000,0.000000
136,nav2,1768473499837058346,1768473499839374177,1768473499839407880,1768473499840411652,2.3158,0.0337,1.0038,3.3533,0.200000,0.000000
137,nav2,1768473499887080611,1768473499893217282,1768473499893256967,1768473499894559008,6.1367,0.0397,1.3020,7.4784,0.200000,0.000000
138,nav2,1768473499928140066,1768473499929824989,1768473499929902082,1768473499931202539,1.6849,0.0771,1.3005,3.0625,0.200000,0.000000
139,nav2,1768473499986542932,1768473499988557139,1768473499988601732,1768473499990438810,2.0142,0.0446,1.8371,3.8959,0.200000,0.000000
140,nav2,1768473500036338345,1768473500038088863,1768473500038129881,1768473500039328077,1.7505,0.0410,1.1982,2.9897,0.200000,0.000000
141,nav2,1768473500087151337,1768473500089563223,1768473500089598260,1768473500090974117,2.4119,0.0350,1.3759,3.8228,0.200000,0.000000
142,nav2,1768473500137366490,1768473500140039385,1768473500140074292,1768473500141354727,2.6729,0.0349,1.2804,3.9882,0.200000,0.000000
143,nav2,1768473500177705370,1768473500180591365,1768473500180625958,1768473500181847966,2.8860,0.0346,1.2220,4.1426,0.200000,0.000000
144,nav2,1768473500227367008,1768473500229164002,1768473500229205057,1768473500230750620,1.7970,0.0411,1.5456,3.3836,0.200000,0.000000
145,nav2,1768473500288060443,1768473500290197842,1768473500290232990,1768473500291695261,2.1374,0.0351,1.4623,3.6348,0.200000,0.000000
146,nav2,1768473500327929793,1768473500329771069,1768473500329804532,1768473500331479099,1.8413,0.0335,1.6746,3.5493,0.200000,0.000000
147,nav2,1768473500387828399,1768473500389610009,1768473500389647509,1768473500390873801,1.7816,0.0375,1.2263,3.0454,0.200000,0.000000
148,nav2,1768473500431187675,1768473500433014546,1768473500433049454,1768473500434334134,1.8269,0.0349,1.2847,3.1465,0.200000,0.000000
149,nav2,1768473500487254592,1768473500489620913,1768473500489659227,1768473500491103356,2.3663,0.0383,1.4441,3.8488,0.200000,0.000000
150,nav2,1768473500526806250,1768473500528636180,1768473500528675958,1768473500530556457,1.8299,0.0398,1.8805,3.7502,0.200000,0.000000
151,nav2,1768473500577380190,1768473500579967782,1768473500580001522,1768473500582341933,2.5876,0.0337,2.3404,4.9617,0.200000,0.000000
152,nav2,1768473500628311125,1768473500630952348,1768473500630987015,1768473500633005444,2.6412,0.0347,2.0184,4.6943,0.200000,0.000000
153,nav2,1768473500688730472,1768473500690602141,1768473500690638122,1768473500693537156,1.8717,0.0360,2.8990,4.8067,0.200000,0.000000
154,nav2,1768473500737873796,1768473500740167586,1768473500740206438,1768473500750958426,2.2938,0.0389,10.7520,13.0846,0.200000,0.000000
155,nav2,1768473500786239918,1768473500788561187,1768473500788593428,1768473500791473467,2.3213,0.0322,2.8800,5.2335,0.200000,0.000000
156,nav2,1768473500837447228,1768473500839946659,1768473500839979769,1768473500841969601,2.4994,0.0331,1.9898,4.5224,0.200000,0.000000
157,nav2,1768473500888152310,1768473500890583301,1768473500890618505,1768473500892355376,2.4310,0.0352,1.7369,4.2031,0.200000,0.000000
158,nav2,1768473500939025611,1768473500940845372,1768473500940932057,1768473500943862402,1.8198,0.0867,2.9303,4.8368,0.200000,0.000000
